"Estimate","lwr","upr","p_value","std_error","variable","transition"
-0.228908400078457,-0.958232142653492,0.500415342496578,0.963533281966216,0.256843490494522,"ant_rich","UF_LF"
-0.439535134474134,-1.21632293403705,0.337252665088782,0.614892815783213,0.273558747873579,"ant_rich","UF_LBF"
0.452667991285073,-0.322216623142445,1.22755260571259,0.578792996202467,0.272888509562802,"ant_rich","UF_PA"
1.23377924076481,0.365573658467269,2.10198482306236,0.000763244045606348,0.305753041079954,"ant_rich","UF_MA"
-0.210626734395677,-0.639268868092096,0.218015399300741,0.755470635238339,0.150953459163276,"ant_rich","LF_LBF"
0.68157639136353,0.24611912436003,1.11703365836703,0.000107395173973845,0.153353521748097,"ant_rich","LF_PA"
1.46268764084327,0.895742095929007,2.02963318575753,1.33859590079055e-12,0.19965930652685,"ant_rich","LF_MA"
0.892203125759207,0.469452972510681,1.31495327900773,1.42576687123253e-08,0.148878500217309,"ant_rich","LBF_PA"
1.67331437523895,1.12383358740928,2.22279516306862,0,0.193508801739485,"ant_rich","LBF_MA"
0.781111249479739,0.219507702321087,1.34271479663839,0.000928557962236454,0.197778033136626,"ant_rich","PA_MA"
-0.598768796742895,-1.10028040927146,-0.0972571842143269,0.00849378814465473,0.17661565854223,"ant_rich","PA_SFyoung"
-1.37988004622263,-2.02285587419705,-0.736904218248219,8.70045335776837e-09,0.226434635704409,"ant_rich","MA_SFyoung"
0.534654925742373,-0.0211366115156899,1.09044646300044,0.067727820516145,0.195731237149448,"ant_rich","SFold_PA"
1.31576617522211,0.661962706846595,1.96956964359763,1.30407694864942e-07,0.230247769422804,"ant_rich","SFold_MA"
0.0641138710005228,-0.550677546360651,0.678905288361697,0.999916355238613,0.21650902657248,"ant_rich","SFyoung_SFold"
0.12484444712705,-0.37779983503918,0.62748872929328,0.988801889992722,0.176654681379367,"bird_rich","UF_LF"
0.332949887868895,-0.184704885823365,0.850604661561156,0.461724956239878,0.181930129030837,"bird_rich","UF_LBF"
1.59717707754869,1.07949323211367,2.11486092298371,0,0.18194034631498,"bird_rich","UF_PA"
2.54035542771688,1.94431004944008,3.13640080599369,0,0.209480561349173,"bird_rich","UF_MA"
0.208105440741845,-0.117216798099418,0.533427679583108,0.468461801959148,0.114334726340565,"bird_rich","LF_LBF"
1.47233263042164,1.14309880478685,1.80156645605643,0,0.1157094562305,"bird_rich","LF_PA"
2.41551098058983,1.98565661570319,2.84536534547648,0,0.151072614496523,"bird_rich","LF_MA"
1.26422718967979,0.940759767693844,1.58769461166574,0,0.113682849671084,"bird_rich","LBF_PA"
2.20740553984799,1.77781223717308,2.6369988425229,0,0.150980864001252,"bird_rich","LBF_MA"
0.943178350168196,0.508667712513298,1.37768898782309,5.82022030570783e-09,0.15270906478846,"bird_rich","PA_MA"
-0.656050662205044,-1.03869948547631,-0.273401838933781,1.34758840149019e-05,0.134482194174885,"bird_rich","PA_SFyoung"
-1.59922901237324,-2.08954511271956,-1.10891291202692,0,0.172321933333379,"bird_rich","MA_SFyoung"
0.815815609661218,0.381688007990014,1.24994321133242,9.29410083894133e-07,0.152574446526486,"bird_rich","SFold_PA"
1.75899395982941,1.2504997250614,2.26748819459743,0,0.178710651276207,"bird_rich","SFold_MA"
-0.159764947456174,-0.637637247321341,0.318107352408993,0.950561663880864,0.167948551028754,"bird_rich","SFyoung_SFold"
0.50462045504764,-0.0347524353453258,1.04399334544061,0.082405847918639,0.19002332878037,"db_rich","UF_LF"
0.674186846321639,0.0947047251410406,1.25366896750224,0.0118172153141726,0.204153978809023,"db_rich","UF_LBF"
1.78064228500481,1.20425301755532,2.35703155245429,4.44089209850063e-16,0.203064353483232,"db_rich","UF_PA"
2.13070092883445,1.49106420637963,2.77033765128928,0,0.225346696832459,"db_rich","UF_MA"
0.169566391273999,-0.133450715818316,0.472583498366313,0.62675117499975,0.106754196202054,"db_rich","LF_LBF"
1.27602182995717,0.967733781704224,1.58430987821011,0,0.10861117085352,"db_rich","LF_PA"
1.62608047378681,1.22467322103481,2.02748772653882,0,0.141417456685572,"db_rich","LF_MA"
1.10645543868317,0.807893163522675,1.40501771384366,0,0.105184740250671,"db_rich","LBF_PA"
1.45651408251281,1.0708831640936,1.84214500093203,0,0.135859388011256,"db_rich","LBF_MA"
0.350058643829648,-0.0450234100110937,0.74514069767039,0.11841518538726,0.139189062612151,"db_rich","PA_MA"
-0.635042457427451,-0.980799530283243,-0.289285384571659,1.8848995724241e-06,0.121811665183148,"db_rich","PA_SFyoung"
-0.985101101257099,-1.43366063059613,-0.536541571918069,3.03146596714043e-09,0.158029401253479,"db_rich","MA_SFyoung"
0.963436915792572,0.571931837912702,1.35494199367244,2.90811819070314e-11,0.137928878996773,"db_rich","SFold_PA"
1.31349555962222,0.853914269012764,1.77307685023168,2.44249065417534e-15,0.161912413920473,"db_rich","SFold_MA"
-0.328394458365122,-0.754345927001786,0.0975570102715425,0.245242012063462,0.150064486760275,"db_rich","SFyoung_SFold"
-0.0552442186112113,-0.535414263686477,0.424925826464054,0.999850827346818,0.168793900728431,"liana_rich","UF_LF"
0.311642147634545,-0.181767331740434,0.805051627009524,0.484393845817521,0.173447951479424,"liana_rich","UF_LBF"
1.84979945227486,1.35640709390612,2.3431918106436,0,0.173441932941912,"liana_rich","UF_PA"
1.8640455994688,1.29462282719021,2.43346837174739,0,0.200168860765639,"liana_rich","UF_MA"
0.366886366245756,0.0543136101604771,0.679459122331035,0.0105982269067099,0.109878521790756,"liana_rich","LF_LBF"
1.90504367088607,1.58881135783047,2.22127598394168,0,0.111164963755002,"liana_rich","LF_PA"
1.91928981808001,1.50647552474328,2.33210411141674,0,0.145116371925774,"liana_rich","LF_MA"
1.53815730464032,1.22717769748272,1.84913691179791,0,0.109318483061344,"liana_rich","LBF_PA"
1.55240345183425,1.13890528164051,1.965901622028,0,0.145356774765345,"liana_rich","LBF_MA"
0.0142461471939381,-0.403663184548016,0.432155478935892,0.999999890860756,0.146907427856062,"liana_rich","PA_MA"
-0.892100648643488,-1.26022896986894,-0.523972327418034,3.01960678683599e-11,0.129407937761952,"liana_rich","PA_SFyoung"
-0.906346795837426,-1.37784645763759,-0.434847134037266,3.48841418307266e-07,0.165746005865298,"liana_rich","MA_SFyoung"
1.26638504704275,0.848759798062498,1.68401029602301,0,0.146807564405668,"liana_rich","SFold_PA"
1.28063119423669,0.791357669102961,1.76990471937042,5.12256903562047e-13,0.171994041855584,"liana_rich","SFold_MA"
-0.374284398399265,-0.834453366887806,0.0858845700892762,0.190994697505168,0.161762933739826,"liana_rich","SFyoung_SFold"
